videoId,title,date,duree_sec,vues,likes,commentaires
mGIpOtncmSM,"Saying Pewdiepie 100,000 Times",2018-11-25,42520,26717394,1686096,166166
wMn8d7IeCYM,"Saying ""Keep Net Neutrality"" For 10 Hours",2017-12-17,36002,2448063,84818,9749
_FX6rml2Yjs,"Saying Logan Paul 100,000 Times",2017-08-19,61567,23712300,929902,108337
KcsRxHwGz7A,Every Challenge I've Ever Done,2017-06-23,85686,960395,29912,4528
ZJwX2jTXWwQ,Watching It's Everyday Bro For 10 Hours Straight,2017-06-17,36011,28329433,819210,69315
AS5CxLCWq-Q,Watching Dance Till You're Dead For 10 Hours,2017-03-21,36001,54761862,2607466,0
9CVwXBYVqVk,"Counting To 200,000 (Road To A Mil)",2017-02-18,84878,4126123,155804,19134
xWcldHxHFpo,"I Counted To 100,000!",2017-01-09,85687,33396158,1527486,136893
9Ax56oRhcZc,Counting To 10000 In One Sitting,2016-02-01,12581,68452534,710211,56974
