videoId,title,date,duree_sec,vues,likes,commentaires
IZVbzNRUlQI,"Reading The Longest English Word (190,000 Characters)",2017-06-02,6889,35778209,816790,57349
dSDBr0WjrwQ,"Reading The Entire Bee Movie Script But Everytime They Say ""Bee"" I Repeat All the Previous Bees",2016-11-25,5459,11023307,215643,11808
